번호,발생시각,규모,깊이,최대진도,위도,경도,위치
1096,2021-10-22 6:51,2.4,14,Ⅲ,36.90 N,128.22 E,충북 제천시 남쪽 26km 지역
1095,2021-10-19 22:13,2.2,22,Ⅰ,35.90 N,129.75 E,경북 포항시 남구 동남동쪽 37km 해역
1094,2021-10-19 6:45,2.8,-,Ⅰ,40.41 N,127.27 E,북한 함경남도 장진 북동쪽 4km 지역
1093,2021-10-19 6:41,2.6,-,Ⅰ,40.37 N,127.28 E,북한 함경남도 장진 동남동쪽 4km 지역
1092,2021-10-17 23:13,2.4,33,Ⅰ,41.26 N,129.45 E,북한 함경북도 길주 북북동쪽 36km 지역
1091,2021-10-11 22:00,2.5,20,Ⅰ,41.29 N,129.20 E,북한 함경북도 길주 북북서쪽 39km 지역
1090,2021-10-11 21:58,2.4,25,Ⅰ,41.30 N,129.18 E,북한 함경북도 길주 북북서쪽 40km 지역
1089,2021-10-10 2:18,2.1,7,Ⅰ,35.10 N,125.06 E,전남 신안군 흑산도 북서쪽 58km 해역
1088,2021-10-06 21:55,2.5,13,Ⅲ,35.25 N,127.86 E,경남 하동군 북북동쪽 23km 지역
1087,2021-09-23 12:02,2.6,16,Ⅳ,35.42 N,128.49 E,경남 창녕군 남쪽 14km 지역
1086,2021-09-20 6:58,2.2,8,Ⅲ,34.88 N,127.25 E,전남 보성군 북동쪽 20km 지역
1085,2021-09-17 5:30,2.2,10,Ⅱ,36.71 N,126.11 E,충남 태안군 서남서쪽 17km 해역
1084,2021-09-14 3:36,2.2,16,Ⅲ,35.41 N,128.78 E,경남 밀양시 남남동쪽 11km 지역
1083,2021-09-12 2:04,2.1,13,Ⅱ,35.53 N,128.53 E,경남 창녕군 동남동쪽 4km 지역
1082,2021-09-11 3:47,2.1,8,Ⅰ,41.29 N,129.15 E,북한 함경북도 길주 북북서쪽 40km 지역
1081,2021-09-01 18:39,2.4,15,Ⅰ,41.30 N,129.13 E,북한 함경북도 길주 북북서쪽 42km 지역
1080,2021-08-29 18:47,2.6,15,Ⅰ,36.98 N,125.02 E,충남 태안군 서격렬비도 북서쪽 62km 해역
1079,2021-08-29 13:03,2.2,9,Ⅲ,35.31 N,128.49 E,경남 함안군 동북동쪽 9km 지역
1078,2021-08-28 7:03,2.2,15,Ⅲ,35.00 N,127.73 E,전남 광양시 북북동쪽 7km 지역
1077,2021-08-26 15:58,2.3,17,Ⅰ,35.07 N,125.12 E,전남 신안군 흑산도 북북서쪽 52km 해역
1076,2021-08-21 9:40,4,7,Ⅱ,35.70 N,124.70 E,전북 군산시 어청도 서남서쪽 124km 해역
1075,2021-08-20 22:26,2.1,5,Ⅱ,38.37 N,127.99 E,북한 강원 회양 남동쪽 50km 지역
1074,2021-08-18 16:57,2.1,-,Ⅰ,35.10 N,129.84 E,부산 기장군 동남동쪽 58km 해역
1073,2021-08-15 9:32,2,18,Ⅰ,35.10 N,129.78 E,부산 기장군 동남동쪽 53km 해역
